name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Zay Flowers,43,43,WR,BAL,5675,41.7,5.02,170,32,55,3.7,13,2qb,10,6,5911,2026-07-28,2026-08-27
Baker Mayfield,44,44,QB,TB,2886,42.1,5.02,879,23,72,8.3,10,2qb,10,6,5911,2026-07-28,2026-08-27
Javonte Williams,45,45,RB,DAL,5185,46.4,5.06,597,32,58,5.3,14,2qb,10,6,5911,2026-07-28,2026-08-27
Malik Nabers,46,46,WR,NYG,6183,47.6,5.08,1162,31,73,6.4,8,2qb,10,6,5911,2026-07-28,2026-08-27
Breece Hall,47,47,RB,NYJ,5503,48.7,5.09,356,35,65,5.2,13,2qb,10,6,5911,2026-07-28,2026-08-27
Tyler Shough,48,49,QB,NO,5602,48.8,5.09,829,25,77,9,8,2qb,10,6,5911,2026-07-28,2026-08-27
Jeremiyah Love,49,48,RB,ARI,6769,48.8,5.09,639,34,65,5.5,14,2qb,10,6,5911,2026-07-28,2026-08-27
Emeka Egbuka,50,50,WR,TB,6576,50.3,5.10,975,35,70,5.5,10,2qb,10,6,5911,2026-07-28,2026-08-27
Tee Higgins,51,51,WR,CIN,4870,51.7,6.02,413,38,67,5,6,2qb,10,6,5911,2026-07-28,2026-08-27
Davante Adams,52,52,WR,LAR,2125,51.8,6.02,322,36,66,5.8,11,2qb,10,6,5911,2026-07-28,2026-08-27
Cam Skattebo,53,53,RB,NYG,6509,52.4,6.02,542,38,68,5.3,8,2qb,10,6,5911,2026-07-28,2026-08-27
Jameson Williams,54,54,WR,DET,5643,52.5,6.03,131,39,69,5.7,6,2qb,10,6,5911,2026-07-28,2026-08-27
Tetairoa McMillan,55,55,WR,CAR,6561,52.7,6.03,420,38,68,5.4,5,2qb,10,6,5911,2026-07-28,2026-08-27
Kyler Murray,56,56,QB,MIN,3299,52.9,6.03,1400,27,79,9.9,6,2qb,10,6,5911,2026-07-28,2026-08-27
DeVonta Smith,57,57,WR,PHI,4883,55.7,6.06,1025,41,70,5.5,10,2qb,10,6,5911,2026-07-28,2026-08-27
Travis Etienne Jr.,58,58,RB,NO,4863,57.7,6.08,454,44,76,7,8,2qb,10,6,5911,2026-07-28,2026-08-27
Sam Darnold,59,59,QB,SEA,2884,57.9,6.08,950,29,80,10.7,11,2qb,10,6,5911,2026-07-28,2026-08-27
D'Andre Swift,60,60,RB,CHI,4862,58.7,6.09,623,40,82,7.2,10,2qb,10,6,5911,2026-07-28,2026-08-27
